,hive_id,inspection_date,frames_of_bees,hive_grading_raw,hive_status_raw,hive_state,queen_present,varroa_count
0,6,2022-06-02 17:05:47.240403+00:00,,medium,queenless,medium,False,
1,6,2022-06-02 17:23:44.205093+00:00,,,queenless,,False,
2,6,2022-06-07 20:15:27.278308+00:00,,medium,queenless,medium,False,
3,6,2022-06-14 15:48:18.475073+00:00,,medium,queenright,medium,True,
4,6,2022-06-20 20:24:48.052424+00:00,,medium,,medium,True,
5,6,2022-06-27 16:58:08.893371+00:00,,medium,queenright,medium,True,
6,6,2022-07-04 22:18:32.739776+00:00,,medium,queenright,medium,True,
7,6,2022-07-11 21:10:28.396861+00:00,17.0,medium,queenless,medium,False,
8,6,2022-07-19 22:29:19.394893+00:00,20.0,medium,queenright,medium,True,
9,6,2022-08-04 12:54:07.298692+00:00,,pulled honey super,,,True,
10,6,2022-08-24 21:37:30.271507+00:00,,,,,True,
11,6,2022-09-01 22:10:12.948151+00:00,,,,,True,0.0
12,6,2022-09-01 23:11:04.071552+00:00,,,,,True,
13,6,2022-09-07 22:14:19.801450+00:00,8.0,,,,True,
14,6,2022-09-07 22:55:35.770404+00:00,,,,,True,
15,6,2022-09-21 15:45:49.317999+00:00,,,,,True,
16,6,2022-09-29 21:46:36.160584+00:00,,,,,True,
17,6,2022-09-30 21:04:06.518484+00:00,,strong,,strong,True,0.0
18,6,2023-04-12 15:22:19.459313+00:00,,medium,queenright,medium,True,
19,3627,2022-06-02 17:20:39.867942+00:00,,medium,queenright,medium,True,
20,3627,2022-06-20 20:48:26.646910+00:00,,weak,,weak,True,
21,3627,2022-07-04 21:50:46.479608+00:00,,medium,,medium,True,
22,3627,2022-07-11 19:58:17.750966+00:00,7.0,medium,queenright,medium,True,
23,3627,2022-07-19 20:53:47.773916+00:00,9.0,medium,queenright,medium,True,
24,3627,2022-08-04 12:54:07.298692+00:00,,pulled honey super,,,True,
25,3627,2022-08-16 22:00:09.878646+00:00,8.0,size - 1d,queenright,,True,
26,3627,2022-08-19 17:52:37.586952+00:00,8.0,medium,queenright,medium,True,
27,3627,2022-08-24 20:30:15.427454+00:00,,,,,True,1.0
28,3627,2022-08-24 21:30:33.157860+00:00,,,,,True,
29,3627,2022-09-01 23:11:04.071552+00:00,,,,,True,
30,3627,2022-09-07 22:27:36.371518+00:00,4.0,,,,True,
31,3627,2022-09-15 20:45:02.800895+00:00,,,,,True,
32,3627,2022-09-21 15:45:49.317999+00:00,,,,,True,
33,3627,2022-09-29 21:46:36.160584+00:00,,,,,True,
34,3627,2022-11-11 19:04:31.917556+00:00,,,,,True,
35,3627,2023-04-12 15:16:55.932263+00:00,,medium,queenright,medium,True,
